har_id,chrom,start,end,length,translated_category,nearest_gene,gene_dist,source,gBGC_flag,is_testis_positive_control,is_mpra_testis_validated
ZOOHAR.249,chr2,191859142,191859199,57,positive,CAVIN2,12054,zooHAR_Keough2023,positive,False,False
ZOOHAR.250,chr15,37220225,37220293,68,positive,MEIS2,118914,zooHAR_Keough2023,positive,False,False
ZOOHAR.251,chr18,61629524,61629628,104,positive,CDH20,73747,zooHAR_Keough2023,positive,False,False
ZOOHAR.252,chr13,76592553,76592726,173,positive,KCTD12,287448,zooHAR_Keough2023,positive,False,False
ZOOHAR.253,chr6,9453676,9453732,56,positive,LOC100506207,668231,zooHAR_Keough2023,positive,False,False
ZOOHAR.254,chr16,80121779,80121919,140,positive,LOC102724084,34038,zooHAR_Keough2023,positive,False,False
ZOOHAR.255,chr14,36111936,36112047,111,positive,LINC00609,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.256,chr2,83918561,83918681,120,positive,FUNDC2P2,372000,zooHAR_Keough2023,positive,False,False
ZOOHAR.257,chr2,173052632,173052891,259,positive,RAPGEF4,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.258,chr16,73505074,73505197,123,GBGC(hc),LINC01568,83678,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.259,chr1,57162779,57162857,78,positive,DAB1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.260,chr4,146981122,146981298,176,positive,TTC29,35236,zooHAR_Keough2023,positive,False,False
ZOOHAR.261,chr20,43372339,43372456,117,positive,SRSF6,85439,zooHAR_Keough2023,positive,False,False
ZOOHAR.262,chr7,114975070,114975301,231,positive,MDFIC,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.263,chr2,19461892,19462026,134,positive,OSR1,103269,zooHAR_Keough2023,positive,False,False
ZOOHAR.264,chr9,78868955,78869107,152,positive,LOC101927450,266315,zooHAR_Keough2023,positive,False,False
ZOOHAR.265,chr1,69144410,69144517,107,positive,LINC01707,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.266,chr7,111123474,111123530,56,positive,IMMP2L,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.267,chr8,136474697,136474749,52,positive,LINC02055,56048,zooHAR_Keough2023,positive,False,False
ZOOHAR.268,chr20,40833843,40834063,220,positive,SNORD154,119220,zooHAR_Keough2023,positive,False,False
ZOOHAR.269,chr13,72161840,72162093,253,positive,DACH1,294636,zooHAR_Keough2023,positive,False,False
ZOOHAR.270,chr9,79611117,79611167,50,positive,TLE4,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.271,chr5,53360324,53360466,142,positive,GUSBP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.272,chr9,117858773,117858873,100,positive,TLR4,134038,zooHAR_Keough2023,positive,False,False
ZOOHAR.273,chr13,78998334,78998791,457,positive,LINC00331,158284,zooHAR_Keough2023,positive,False,False
ZOOHAR.274,chr12,97421605,97421655,50,positive,RMST,41120,zooHAR_Keough2023,positive,False,False
ZOOHAR.275,chr13,59725382,59725555,173,positive,DIAPH3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.276,chr5,171667684,171667741,57,positive,SMIM23,118075,zooHAR_Keough2023,positive,False,False
ZOOHAR.277,chr1,44252362,44252762,400,positive,ERI3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.278,chr9,8784055,8784225,170,positive,PTPRD,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.279,chr18,39674952,39675073,121,positive,MIR924HG,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.280,chr3,169573943,169574399,456,"GBGC &
positive",MECOM,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.281,chr2,21519553,21519636,83,GBGC(hc),LINC01822,167797,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.282,chr14,97114126,97114281,155,positive,LINC02304,40575,zooHAR_Keough2023,positive,False,False
ZOOHAR.283,chr5,179120896,179120989,93,positive,ADAMTS2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.284,chr3,62504670,62504843,173,positive,CADPS,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.285,chr20,52477715,52477862,147,positive,LINC01524,142975,zooHAR_Keough2023,positive,False,False
ZOOHAR.286,chr9,1743695,1743842,147,positive,SMARCA2,271504,zooHAR_Keough2023,positive,False,False
ZOOHAR.287,chr20,1079661,1079749,88,,PSMF1,33479,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.288,chr16,78891502,78891660,158,GBGC(hc),WWOX,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.289,chr2,143292808,143292937,129,"GBGC &
positive",ARHGAP15,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.290,chr2,237934988,237935064,76,,RAMP1,22882,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.291,chr2,145503471,145503716,245,positive,TEX41,426747,zooHAR_Keough2023,positive,False,False
ZOOHAR.292,chr11,115777716,115777808,92,positive,LINC00900,17516,zooHAR_Keough2023,positive,False,False
ZOOHAR.293,chr2,176078372,176078928,556,positive,EVX2,1178,zooHAR_Keough2023,positive,False,False
ZOOHAR.294,chr2,221284996,221285048,52,positive,EPHA4,132978,zooHAR_Keough2023,positive,False,False
ZOOHAR.295,chr8,115702438,115702753,315,positive,TRPS1,33463,zooHAR_Keough2023,positive,False,False
ZOOHAR.296,chr3,30783358,30783411,53,,GADL1,0,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.297,chr3,105369924,105369995,71,positive,ALCAM,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.298,chr10,16612592,16612675,83,positive,RSU1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.299,chr2,156784627,156784689,62,GBGC(hc),GPD2,198224,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.300,chr6,51429061,51429356,295,"GBGC &
positive",PKHD1,185942,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.301,chr7,105960934,105961088,154,"GBGC &
positive",CDHR3,2175,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.302,chr9,3887248,3887303,55,positive,GLIS3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.303,chr16,52708031,52708347,316,positive,MIR1972-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.304,chr1,87927468,87927654,186,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.305,chr16,62769582,62769744,162,positive,MIR1972-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.306,chr1,68692933,68693037,104,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.307,chr20,50510350,50510419,69,positive,PTPN1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.308,chr14,33696757,33696813,56,positive,NPAS3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.309,chr12,79687956,79688126,170,positive,PAWR,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.310,chr10,66143495,66143616,121,positive,CTNNA3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.311,chr6,84362335,84362644,309,positive,LINC01611,58386,zooHAR_Keough2023,positive,False,False
ZOOHAR.312,chr13,62033728,62033778,50,positive,LINC00358,4180,zooHAR_Keough2023,positive,False,False
2xHAR.238,chr2,120791827,120791907,80,NA (not in zooHAR set),GLI2,,MPRA_Girskis2021,unannotated,True,True
2xHAR.513,chr12,58808979,58809212,233,NA (not in zooHAR set),?,,MPRA_Girskis2021,unannotated,False,True
2xHAR.328,chr15,93541635,93541819,184,NA (not in zooHAR set),?,,MPRA_Girskis2021,unannotated,False,True
2xHAR.407,chr3,140458093,140458145,52,NA (not in zooHAR set),?,,MPRA_Girskis2021,unannotated,False,True
2xHAR.444,chr7,124814366,124814393,27,NA (not in zooHAR set),?,,MPRA_Girskis2021,unannotated,False,True
2xHAR.456,chr11,31972257,31972363,106,NA (not in zooHAR set),?,,MPRA_Girskis2021,unannotated,False,True
HAR183,chr17,6147033,6147256,223,NA (not in zooHAR set),?,,MPRA_Girskis2021,unannotated,False,True
